"Vendor","Component","Type","Connected To","Description","Support Level","Notes"
"Fireblocks","Contract Template","Contract","Template Constructor, Supported Blockchains, Deploy Contract","컨트랙트 템플릿 정의/업로드","O","템플릿 기반 배포 파이프라인 중심"
"Fireblocks","Template Constructor Metadata","Contract","Deploy Contract","생성자 파라미터 스키마","O","배포 전 파라미터 검증 필수"
"Fireblocks","Supported Blockchains by Template","API Service","Contract Template","템플릿별 배포 가능 체인 조회","O","멀티체인 배포 게이트로 활용"
"Fireblocks","Deployed Contract","Contract","Tokenization Operations, ABI Fetch","온체인 배포된 실제 컨트랙트","O","운영 API와 결합"
"Fireblocks","Tokenization Operations","API Service","Deployed Contract, TAP Policy","Issue/Mint/Burn/Transfer 운영","O","정책 엔진과 결합"
"Fireblocks","Link Existing Contract","API Service","Deployed Contract","기존 컨트랙트 연결","O","자산 이관/연결 시 유용"
"Fireblocks","TAP Policy Engine","Policy Engine","Tokenization Operations, Approval Requests","트랜잭션 승인/차단 정책","O","운영통제 핵심"
"Tokeny","T-REX Factory","Contract","Permissioned Token, Identity Registry, Compliance suite","T-REX 스위트 일괄 배포","O","CREATE2/프록시 패턴 활용"
"Tokeny","Implementation Authority","Contract","T-REX Factory","구현체 주소/업그레이드 제어","O","업그레이드 거버넌스 핵심"
"Tokeny","Permissioned Token (ERC-3643)","Contract","Identity Registry, Modular Compliance","권한형 토큰 본체","O","전송 전 검증 강제"
"Tokeny","Identity Registry","Registry","Identity Registry Storage, Claim Topics Registry, Trusted Issuers Registry","투자자 자격 검증 게이트","O","isVerified 경로 핵심"
"Tokeny","Identity Registry Storage","Registry","Identity Registry, ONCHAINID","지갑-ONCHAINID 저장소","O","다수 Registry 공유 가능"
"Tokeny","Claim Topics Registry","Registry","Identity Registry","필수 클레임 항목 정의","O","규정 변경 시 업데이트 필요"
"Tokeny","Trusted Issuers Registry","Registry","Identity Registry","신뢰 가능한 클레임 발급자 관리","O","발급자 신뢰성 통제"
"Tokeny","Modular Compliance","Contract","Permissioned Token, Identity Registry","국가/한도/전송 규칙 실행","O","모듈 조합 전략 필요"
"Tokeny","ONCHAINID","Contract","Identity Registry, Identity Registry Storage","신원/클레임 보유 컨트랙트","O","외부 KYC 시스템과 결합 가능"
"Securitize","Connect API","API Service","OAuth2, Verification API, Wallets API","투자자 온보딩/검증 API 축","O","최신 공개 API 중심"
"Securitize","OAuth2 / Securitize iD","API Service","Connect API, Verification API","인증/동의/스코프 제어","O","scope 제약 확인 필요"
"Securitize","Verification API","API Service","Connect API, Wallets API","KYC/KYB 상태 조회","O","상태별 기능 가드 필요"
"Securitize","Wallets API","API Service","Verification API, tokenId mapping","투자자 지갑 등록/조회","O","tokenId 바인딩 무결성 중요"
"Securitize","DS Token Interfaces (legacy refs)","Contract","Compliance Service, Registry Service, Trust Service","레거시 공개 인터페이스 참조","△","최신 공개 API와 범위 분리 필요"
"Bridge","Transfers API","State Machine","Virtual Accounts, Prefunded Accounts, Custodial Wallets","fiat/crypto 전송 오케스트레이션","O","핵심 기능"
"Bridge","Transfer States","State Machine","Transfers API, Webhooks","awaiting_funds 등 상태 전이","O","재무원장 정합성 핵심"
"Bridge","Virtual Accounts","API Service","Transfers API","법정화폐 입금계좌","O","수취 자동화 유리"
"Bridge","Prefunded Accounts","API Service","Transfers API","사전충전 정산 계정","O","즉시 오프램프 강점"
"Bridge","Custodial Wallets","API Service","Transfers API","지갑 보관/이동","O","오케스트레이션 API를 통해 이동"
"Bridge","USDB Issuance layer","API Service","Wallets, Transfers","Bridge 네이티브 스테이블코인 라인","△","세부 컨트랙트 제어 API 공개 범위 제한"
