"Feature Group","Feature Name","Fireblocks","Tokeny","Securitize","Bridge","PM Implication","Dev Implication","Priority"
"Contract","신규 토큰 발행 API","O | Tokenization API 기반 발행 지원; 운영정책(TAP) 결합 강점","O | Assets API + T-REX 배포 흐름","△ | 공개 최신 API는 Connect 중심, 발행 API 공개 범위 제한","X | 발행엔진 주력 아님","발행 중심 제품인지 먼저 확정 필요","발행 파라미터/권한모델/실패재시도 설계 필요","P0"
"Contract","기존 컨트랙트 링크/등록","O | link/register API로 기존 자산 연결","△ | 관리는 가능하나 핵심은 ERC-3643 스위트 운용","△ | tokenId-지갑 바인딩 중심","X | 해당 범위 아님","기존 계약자산 이관 전략 필요","중복등록/심볼충돌/체인별 주소 검증 필요","P0"
"Contract","컨트랙트 템플릿 기반 배포","O | 템플릿 업로드/조회/배포 API","O | Factory 기반 스위트 일괄 배포","△ | 레거시 DS 자료는 있으나 최신 공개 API 배포 가시성 제한","X | 해당 범위 아님","템플릿 거버넌스 정책 필요","템플릿 버전/생성자 스키마 고정 필요","P1"
"Lifecycle","Mint","O | 트랜잭션/토큰 운영 API","O | Permissioned Token + Compliance 검증","△ | 공개 최신 API 기준 직접 운용 가시성 낮음","X | 주력 아님","공급정책과 승인정책 결합 필요","idempotency + 감사로그 필수","P0"
"Lifecycle","Burn","O | 토큰 운영 API로 지원","O | 규제형 토큰 흐름에서 지원","△ | 공개 최신 API 기준 직접 운용 가시성 낮음","X | 주력 아님","소각 권한/감사 정책 필수","잔액검증/실패롤백 처리 필요","P0"
"Lifecycle","Transfer","O | 트랜잭션 API + 정책검증","O | canTransfer + 신원/컴플라이언스 모듈","△ | 검증/지갑 바인딩 중심 통제","O | Transfers API 핵심","전송 UX와 규제 UX를 분리 설계","상태머신 정규화 + 이벤트 중복제거 필수","P0"
"Contract","임의 컨트랙트 함수 호출","O | EVM contract call 지원","△ | 표준/모듈 조합 중심, 임의 호출은 별도 설계","△ | 공개 최신 API에서 직접 제어 가시성 제한","X | 주력 아님","커스텀 비즈니스 룰 확장성 확보","ABI/파라미터 검증 계층 필요","P1"
"Governance","정책 엔진/승인 워크플로우","O | TAP draft/publish/approval 흐름","O | Modular Compliance 모듈형 룰","△ | 온보딩 검증 중심, 거래정책 공개범위 제한","△ | 레일/한도/지역 제약 중심","정책변경 승인체계와 운영책임 분리","룰 버전관리 + 릴리즈 게이트 필요","P0"
"Identity","온체인 신원 모델","△ | 직접 ONCHAINID 중심 모델은 아님","O | ONCHAINID + Registry 스택","△ | Securitize iD(오프체인 검증) 강점","X | 오케스트레이션 범위","법무/컴플라이언스 책임소재 정의 필요","신원검증 실패코드 표준화 필요","P1"
"Compliance","국가/관할 제한 룰","△ | 정책 룰로 구현 가능","O | Country Allow/Restrict 모듈","△ | 검증 상태 기반 접근제어","O | 지역/가용성 제약 문서화","타겟 국가 우선순위 설정 필요","국가코드/규정 업데이트 자동화 필요","P1"
"Compliance","보유량/공급량/기간 한도","△ | 정책+컨트랙트 조합 설계 필요","O | Max Balance/Supply/Time limits 모듈","△ | 공개 API는 검증/지갑 중심","△ | 레일/수수료/최소금액 제약 중심","한도정책과 사업 KPI 정렬 필요","한도 충돌 시 UX fallback 설계 필요","P1"
"Onboarding","투자자 KYC/KYB/AML API","△ | 전용 KYC 플랫폼 성격은 아님","△ | ONCHAINID/클레임 중심, 외부 KYC 결합 필요","O | Verification API 중심 강점","△ | 계정/레일 사용 전 심사","온보딩 이탈률 최소화가 핵심","재심사/수정요청 상태머신 필요","P0"
"Onboarding","투자자 문서 수집/조회","X | 전용 문서 API 주력 아님","△ | 일반적으로 외부문서시스템 결합","O | Investor Documents API","X | 주력 아님","문서 보존/감사 규정 준수 필요","암호화 저장/권한관리 설계 필수","P1"
"Wallet","지갑 화이트리스트/토큰별 허용","△ | 정책+자산관리 조합","O | 신원/클레임/룰 기반 허용","O | tokenId 기반 wallet 등록/상태","△ | 지갑 정책/운영 제약 중심","지갑 소유권 증명 UX 필요","주소검증/체인별 포맷검증 필요","P0"
"Settlement","법정화폐 레일 지원","△ | 핵심 축 아님","X | 주력 아님","△ | 온보딩 중심","O | ACH/SEPA/SPEI/Pix 등 레일 강점","국가별 출시전략 수립 필수","레일별 실패코드 매핑 필요","P0"
"Settlement","Virtual Account","X | 해당 없음","X | 해당 없음","X | 해당 없음","O | Virtual Accounts API","수취계좌 전략 수립 가능","입금식별자/정산지연 처리 필요","P1"
"Settlement","Prefunded Account","X | 해당 없음","X | 해당 없음","X | 해당 없음","O | Prefunded Accounts API","즉시 정산 UX 구현 유리","사전충전 잔액 모니터링 필요","P1"
"Settlement","상태머신 기반 결제 추적","△ | 트랜잭션 상태 강점, 결제레일 상태머신은 주력 아님","△ | 토큰/규정 상태 중심","△ | 검증 상태 중심","O | awaiting_funds 등 명시 상태","CS 운영팀 SLA 설계 가능","상태역전 방지 로직 필수","P0"
"Ops","웹훅/이벤트 운영","O | 운영 자동화 친화","△ | 구현체별 이벤트 처리 설계 필요","△ | 온보딩/검증 이벤트 중심","O | 상태 전이 웹훅 구조","운영 자동화 수준 결정 필요","서명검증 + 재처리 큐 필수","P0"
